test_num,num_features,neighbours,distance_metric,scaled,accuracy,train_t,test_t
1,4,5,manhattan,true,0.056,1.318,1.033
1,4,10,manhattan,true,0.058,1.325,1.415
1,4,15,manhattan,true,0.059,1.324,1.637
1,4,20,manhattan,true,0.058,1.328,1.974
1,4,25,manhattan,true,0.059,1.367,2.251
1,4,30,manhattan,true,0.059,1.358,2.577
1,4,35,manhattan,true,0.059,1.400,2.925
1,4,40,manhattan,true,0.059,1.402,3.475
1,4,45,manhattan,true,0.059,1.358,3.978
1,4,50,manhattan,true,0.059,1.390,4.375
1,1,5,euclidean,false,0.039,2.267,0.703
1,1,10,euclidean,false,0.040,2.178,0.923
1,1,15,euclidean,false,0.040,2.279,1.262
1,1,20,euclidean,false,0.041,2.145,1.372
1,1,25,euclidean,false,0.041,2.131,1.736
1,1,30,euclidean,false,0.041,2.101,1.697
1,1,35,euclidean,false,0.041,2.169,2.079
1,1,40,euclidean,false,0.042,2.125,2.554
1,1,45,euclidean,false,0.042,2.104,2.662
1,1,50,euclidean,false,0.042,2.150,3.505
1,1,5,manhattan,false,0.039,2.191,0.700
1,1,10,manhattan,false,0.040,2.095,0.896
1,1,15,manhattan,false,0.040,2.093,1.132
1,1,20,manhattan,false,0.041,2.545,1.640
1,1,25,manhattan,false,0.041,2.123,1.567
1,1,30,manhattan,false,0.041,2.142,2.905
1,1,35,manhattan,false,0.041,2.516,2.310
1,1,40,manhattan,false,0.042,2.645,2.538
1,1,45,manhattan,false,0.042,2.053,2.731
1,1,50,manhattan,false,0.042,2.080,2.791
1,1,5,euclidean,true,0.039,2.083,0.672
1,1,10,euclidean,true,0.040,2.108,0.857
1,1,15,euclidean,true,0.040,2.092,1.059
1,1,20,euclidean,true,0.041,2.090,1.263
1,1,25,euclidean,true,0.041,2.128,1.663
1,1,30,euclidean,true,0.041,2.144,1.751
1,1,35,euclidean,true,0.041,2.106,1.932
1,1,40,euclidean,true,0.042,2.126,2.268
1,1,45,euclidean,true,0.042,2.101,2.653
1,1,50,euclidean,true,0.042,2.092,2.858
