test_num,num_features,num_trees,scaled,accuracy,train_t,test_t
2,1,20,false,0.354,996.393,57.903
2,1,20,true,0.354,968.932,56.155
3,10,5,false,0.694,359.130,12.193
3,10,5,true,0.697,356.842,11.628
3,10,10,false,0.712,717.523,23.631
3,10,10,true,0.709,728.390,22.263
3,10,15,false,0.719,1074.425,32.618
3,10,15,true,0.718,1069.100,33.652
3,10,20,false,0.729,1431.253,47.019
3,10,20,true,0.724,1425.075,47.120
3,7,5,false,0.611,313.839,11.986
3,7,5,true,0.608,314.780,12.613
3,7,10,false,0.626,638.551,23.667
3,7,10,true,0.623,634.200,23.684
3,7,15,false,0.632,1110.326,48.296
3,7,15,true,0.632,1162.005,45.837
3,7,20,false,0.634,1610.941,66.141
3,7,20,true,0.636,1336.432,52.398
3,4,5,false,0.541,310.208,12.353
3,4,5,true,0.540,314.484,13.143
3,4,10,false,0.557,634.417,24.092
3,4,10,true,0.559,636.107,24.667
3,4,15,false,0.562,938.337,37.107
3,4,15,true,0.563,960.975,37.761
3,4,20,false,0.569,1256.235,47.773
3,4,20,true,0.564,1257.814,48.649
3,1,5,false,0.354,240.412,14.944
3,1,5,true,0.354,268.283,15.258
3,1,10,false,0.354,493.526,27.363
3,1,10,true,0.354,470.559,28.322
3,1,15,false,0.356,734.219,40.644
3,1,15,true,0.354,734.247,41.975
3,1,20,false,0.352,964.382,54.926
3,1,20,true,0.354,946.338,54.292
4,10,5,false,0.694,380.259,12.586
4,10,5,true,0.693,355.752,11.703
4,10,10,false,0.710,701.355,22.087
4,10,10,true,0.714,726.595,22.690
4,10,15,false,0.719,1115.682,33.699
4,10,15,true,0.721,1080.591,33.322
4,10,20,false,0.725,1449.729,44.606
4,10,20,true,0.721,1476.685,44.656
4,7,5,false,0.603,359.986,13.586
4,7,5,true,0.606,332.659,12.644
4,7,10,false,0.624,817.338,27.471
4,7,10,true,0.626,887.160,29.026
4,7,15,false,0.631,1214.068,40.999
4,7,15,true,0.631,1078.154,38.796
4,7,20,false,0.637,1586.203,54.703
