28858,10,26
Unknown,POP3,HTTP,MySQL,POPS,BitTorrent,IMAPS,Steam,ICMP,RDP,SSL,SSH,Facebook,Twitter,Dropbox,Skype,Google,Apple,OpenVPN,Amazon,QUIC,Starcraft,Teredo,Office365,Cloudflare,MS_OneDrive,
source_ip,source_port,dest_ip,dest_port,IP4_proto,f_dur,delta_bytes,avg_ia,min_ia,max_ia,avg_len,min_len,max_len,pkt_vel,byte_vel,application,app_num
147.232.181.0,54658,95.173.213.38,443,TCP,102726.000000,1458,10272.600000,143.000000,26133.000000,145,66,296,97.346339,14193.096198,SSL,10
147.232.181.0,39058,147.75.205.195,443,TCP,150128.000000,1461,15012.800000,4.000000,40355.000000,146,66,299,66.609826,9731.695620,SSL,10
147.232.181.0,43160,37.205.10.36,80,TCP,136982.000000,950,13698.200000,3.000000,94097.000000,95,66,222,73.002292,6935.217766,HTTP,2
147.232.181.0,43162,37.205.10.36,80,TCP,249558.000000,950,24955.800000,95.000000,160023.000000,95,66,222,40.070845,3806.730299,HTTP,2
147.232.181.0,1194,178.40.7.191,11015,UDP,139350.000000,1392,13935.000000,28.000000,68620.000000,139,64,168,71.761751,9989.235737,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11266,UDP,2102415.000000,1204,210241.500000,7.000000,1938597.000000,120,60,168,4.756435,572.674757,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11269,UDP,1503882.000000,1392,150388.200000,14.000000,1370350.000000,139,64,168,6.649458,925.604535,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11270,UDP,136202.000000,1392,13620.200000,4.000000,67786.000000,139,64,168,73.420361,10220.114242,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11016,UDP,138515.000000,1392,13851.500000,2.000000,67540.000000,139,64,168,72.194347,10049.453128,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11271,UDP,1749252.000000,1204,174925.200000,15.000000,1483113.000000,120,60,168,5.716729,688.294197,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11017,UDP,2669952.000000,1404,266995.200000,21.000000,1403235.000000,140,64,168,3.745386,525.852150,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11018,UDP,141733.000000,1392,14173.300000,25.000000,67650.000000,139,64,168,70.555199,9821.283681,OpenVPN,18
147.232.181.0,1194,178.40.7.191,11273,UDP,5995302.000000,1116,599530.200000,22.000000,3573280.000000,111,60,168,1.667973,186.145752,OpenVPN,18
